epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
270,19949.8,0.72616,0.55638,0.23241,0.80844,0.5982,0.63541,0.38616,0.55146,0.61033,0.23234,3.58546e-05,3.58546e-05,3.58546e-05
271,20184.9,0.70868,0.55536,0.22878,0.80775,0.59989,0.63491,0.3862,0.55176,0.61023,0.23232,3.4227e-05,3.4227e-05,3.4227e-05
272,20419.2,0.70304,0.56031,0.23147,0.81024,0.59845,0.63622,0.38626,0.55237,0.61033,0.23201,3.2651e-05,3.2651e-05,3.2651e-05
273,20654.4,0.73445,0.55089,0.24032,0.81712,0.59908,0.63621,0.38669,0.55209,0.61064,0.23209,3.11268e-05,3.11268e-05,3.11268e-05
274,20886.1,0.73605,0.54333,0.23282,0.80878,0.60001,0.63491,0.38616,0.55221,0.61136,0.23233,2.96546e-05,2.96546e-05,2.96546e-05
275,21117,0.71008,0.54756,0.22972,0.80494,0.60121,0.63457,0.38533,0.55208,0.61116,0.23188,2.82345e-05,2.82345e-05,2.82345e-05
276,21348,0.70595,0.55244,0.22733,0.79774,0.6077,0.63525,0.38565,0.55179,0.61035,0.2322,2.68667e-05,2.68667e-05,2.68667e-05
277,21579.1,0.69847,0.55751,0.2297,0.80649,0.60223,0.6356,0.38554,0.55175,0.61034,0.232,2.55513e-05,2.55513e-05,2.55513e-05
278,21810.7,0.69963,0.55603,0.23084,0.80622,0.60239,0.63576,0.38562,0.55149,0.61,0.23182,2.42885e-05,2.42885e-05,2.42885e-05
279,22042.1,0.71696,0.54808,0.22463,0.80897,0.60013,0.63586,0.38552,0.55108,0.61012,0.232,2.30784e-05,2.30784e-05,2.30784e-05
280,22273.6,0.71278,0.5537,0.23022,0.81058,0.59862,0.63619,0.38568,0.55108,0.61051,0.23223,2.19212e-05,2.19212e-05,2.19212e-05
281,22505,0.72291,0.54985,0.22836,0.81239,0.598,0.63726,0.38697,0.55093,0.61059,0.23282,2.08169e-05,2.08169e-05,2.08169e-05
282,22735.9,0.7227,0.54891,0.23125,0.81627,0.59869,0.63788,0.38673,0.55098,0.60886,0.23294,1.97658e-05,1.97658e-05,1.97658e-05
283,22967.4,0.72198,0.54795,0.23065,0.80132,0.60581,0.6378,0.38683,0.55037,0.61027,0.23262,1.87678e-05,1.87678e-05,1.87678e-05
284,23199.3,0.70863,0.55099,0.23072,0.80594,0.60558,0.63789,0.38702,0.55044,0.60942,0.23257,1.78232e-05,1.78232e-05,1.78232e-05
285,23431.5,0.6966,0.55424,0.23152,0.79248,0.60755,0.63647,0.38656,0.5504,0.61045,0.2324,1.6932e-05,1.6932e-05,1.6932e-05
286,23669.4,0.71642,0.54707,0.23297,0.8097,0.59995,0.63674,0.38645,0.55012,0.61063,0.23216,1.60943e-05,1.60943e-05,1.60943e-05
287,23908.9,0.69654,0.55502,0.22959,0.81184,0.60047,0.63698,0.38637,0.5503,0.60992,0.23231,1.53102e-05,1.53102e-05,1.53102e-05
288,24147.7,0.70524,0.54391,0.22339,0.81174,0.60009,0.63735,0.38637,0.55014,0.60968,0.23233,1.45798e-05,1.45798e-05,1.45798e-05
289,24386.3,0.70976,0.55793,0.23032,0.81166,0.6006,0.63717,0.38654,0.55001,0.61066,0.23307,1.39032e-05,1.39032e-05,1.39032e-05
290,24625.1,0.72262,0.54955,0.23157,0.81451,0.60036,0.63688,0.38639,0.54994,0.6106,0.23312,1.32805e-05,1.32805e-05,1.32805e-05
291,24864.1,0.52899,0.46904,0.18267,0.81424,0.59876,0.63619,0.38531,0.54896,0.61081,0.2328,1.27117e-05,1.27117e-05,1.27117e-05
292,25101.5,0.52975,0.47173,0.19132,0.80874,0.59971,0.63663,0.38501,0.54993,0.61123,0.23272,1.21968e-05,1.21968e-05,1.21968e-05
293,25339.2,0.52395,0.47318,0.18806,0.81147,0.59762,0.63724,0.38515,0.5494,0.61145,0.23389,1.1736e-05,1.1736e-05,1.1736e-05
294,25576.1,0.5301,0.46799,0.18567,0.81435,0.5966,0.63578,0.38417,0.55035,0.60905,0.23355,1.13293e-05,1.13293e-05,1.13293e-05
295,25813.5,0.53076,0.468,0.18725,0.81433,0.59651,0.63534,0.38392,0.55088,0.60915,0.23308,1.09768e-05,1.09768e-05,1.09768e-05
296,26051,0.51865,0.4631,0.18545,0.81622,0.59605,0.63612,0.3844,0.55124,0.60851,0.23368,1.06784e-05,1.06784e-05,1.06784e-05
297,26288.6,0.51182,0.4691,0.18506,0.81816,0.59782,0.63835,0.38595,0.55108,0.60811,0.23368,1.04342e-05,1.04342e-05,1.04342e-05
298,26526.3,0.51634,0.45798,0.18992,0.81468,0.59815,0.63898,0.38648,0.55116,0.6087,0.23346,1.02443e-05,1.02443e-05,1.02443e-05
